Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Brunei,1467.0,1787.0,2176.0,2439.0,3522.0,,,,,,5470.0,3727.0,4384.0,4177.0,4652.0,5574.0,5949.0,6256.0,6327.0,6795.0,8098.0,8156.0,7974.0,6061.0,6544.0,6650.0,6206.0,6475.0,7266.0,8723.0,10561.0,12710.0,13571.0,15949.0,11892.0,13707.0,18525.0,19048.0,18094.0,17098.0,12930.0,11400.0,12128.0,13567.0,13469.0,12006.0,14006.0,16682.0,15095.0,15463.0,16007.0
Bulgaria,11908.0,12625.0,12908.0,13982.0,9408.0,37751.0,40718.0,42467.0,43641.0,46358.0,39692.0,35130.0,40721.0,66546.0,67774.0,29882.0,2928.0,11882.0,6449.0,11338.0,18992.0,12295.0,11317.0,15031.0,13628.0,13246.0,14183.0,16403.0,21146.0,26158.0,29868.0,34380.0,44432.0,54476.0,52024.0,50690.0,57682.0,54297.0,55820.0,57081.0,50766.0,53929.0,59288.0,66318.0,68639.0,70658.0,84477.0,90719.0,102434.0,112232.0,117007.0
Burkina Faso,890.0,853.0,1031.0,1328.0,1782.0,2386.0,2076.0,1934.0,1767.0,1579.0,1746.0,2290.0,2665.0,2942.0,2942.0,3488.0,3526.0,3775.0,3599.0,2164.0,2676.0,2909.0,2753.0,3155.0,3388.0,2961.0,3190.0,3620.0,4740.0,5449.0,6150.0,6548.0,7627.0,9450.0,9440.0,10118.0,12078.0,12569.0,13444.0,13947.0,11833.0,12829.0,14094.0,15916.0,16092.0,17837.0,19747.0,19588.0,21181.0,23975.0,27056.0
Burundi,414.0,456.0,542.0,612.0,791.0,951.0,989.0,1045.0,1106.0,1005.0,1170.0,1233.0,1161.0,1088.0,1131.0,1131.0,1167.0,1082.0,938.0,924.0,1000.0,868.0,972.0,893.0,866.0,870.0,877.0,825.0,785.0,915.0,1117.0,1273.0,1356.0,1612.0,1775.0,2032.0,2236.0,2333.0,2456.0,2706.0,3104.0,2960.0,3172.0,3037.0,3009.0,3089.0,3356.0,3922.0,4246.0,4743.0,6745.0
Cambodia,746.0,799.0,738.0,806.0,768.0,,,,,,,205.0,141.0,276.0,346.0,898.0,2007.0,2435.0,2422.0,2760.0,3430.0,3509.0,3462.0,3132.0,3522.0,3707.0,4154.0,4507.0,5054.0,5879.0,7058.0,8342.0,10117.0,12162.0,12490.0,13796.0,16017.0,17829.0,19806.0,22040.0,24217.0,26591.0,29394.0,33181.0,36682.0,34898.0,36797.0,39838.0,43304.0,47328.0,49799.0
Cameroon,3187.0,3473.0,4062.0,5347.0,7116.0,8850.0,10026.0,9616.0,9692.0,10243.0,10698.0,13945.0,16152.0,16403.0,14626.0,14641.0,16325.0,14963.0,15611.0,10622.0,10075.0,11227.0,11352.0,11338.0,11553.0,10245.0,10950.0,12369.0,15944.0,18803.0,19534.0,20912.0,23931.0,27712.0,27903.0,27530.0,30626.0,30174.0,33729.0,36396.0,32213.0,33805.0,36086.0,39992.0,39673.0,40863.0,45036.0,44442.0,49283.0,52784.0,56011.0
Canada,170692.0,202829.0,207789.0,214677.0,238664.0,276064.0,307246.0,314639.0,341863.0,356728.0,366184.0,379015.0,433140.0,509380.0,567225.0,596089.0,612514.0,594376.0,579059.0,579913.0,605941.0,630598.0,655010.0,634004.0,678417.0,744631.0,738968.0,760149.0,895599.0,1026473.0,1173505.0,1319356.0,1468896.0,1552864.0,1376509.0,1617345.0,1793327.0,1828362.0,1846595.0,1805751.0,1556508.0,1527996.0,1649266.0,1725300.0,1743725.0,1655685.0,2022382.0,2190411.0,2173340.0,2241253.0,2225341.0
Cape Verde,118.0,110.0,103.0,119.0,127.0,157.0,187.0,149.0,144.0,146.0,164.0,212.0,264.0,322.0,332.0,413.0,443.0,479.0,431.0,450.0,570.0,611.0,609.0,648.0,693.0,699.0,791.0,867.0,1105.0,1263.0,1395.0,1452.0,1650.0,1960.0,1852.0,1825.0,2047.0,1913.0,2029.0,2042.0,1750.0,1850.0,1997.0,2205.0,2251.0,1831.0,2053.0,2309.0,2588.0,2726.0,2786.0
Central African Republic,528.0,629.0,708.0,852.0,977.0,714.0,743.0,719.0,690.0,670.0,883.0,1158.0,1275.0,1372.0,1354.0,1572.0,1498.0,1494.0,1309.0,858.0,1117.0,1000.0,979.0,1036.0,1039.0,868.0,899.0,983.0,1188.0,1310.0,1413.0,1538.0,1755.0,2033.0,2059.0,2141.0,2435.0,2512.0,1692.0,1896.0,1696.0,1825.0,2072.0,2280.0,2279.0,2389.0,2585.0,2460.0,2602.0,2831.0,2932.0
Chad,876.0,823.0,832.0,991.0,894.0,958.0,1133.0,1095.0,1096.0,1177.0,1275.0,1570.0,1780.0,2081.0,1966.0,2369.0,2347.0,2446.0,2138.0,1732.0,2123.0,2360.0,2268.0,2561.0,2256.0,2039.0,2512.0,2928.0,4025.0,6490.0,8660.0,9710.0,10867.0,13384.0,12304.0,14070.0,16682.0,17904.0,17866.0,18149.0,14561.0,13023.0,13344.0,15334.0,14906.0,14954.0,16881.0,17867.0,18343.0,19078.0,18792.0
